PK,path,decimal_path,depth,Famille,Sous-Famille,Sous-sous-famille,état,carte,niveau,nom_vulgarisé,text_fr,LTfr,Simple_name_en,text_en,LTen,link_fr,link_en,desc_fr,Lfr115,example_fr,Lxfr145,desc_en,Len115,example_en,Lxen145,Simple_name_Farsi,Text_Farsi,LTFarsi,link_Farsi,Description_Farsi,Len115,Example_Farsi,Lxen145,Remarques,latin,exemple politique,political_example_en,proverbe,+liens transverses,type lien transverse,shape,image,svg_color,svg_illustration
510,3.1.3.1,"3,131",4,"Erreur
mathématique","Généralisation
abusive",Transfert illicite,ok,2,3,,Sophisme de composition,23,,Compositional fallacy,21,https://fr.wikipedia.org/wiki/Sophisme_de_composition,,Vous considérez qu'une propriété s'appliquant aux éléments distincts d'un ensemble s'applique automatiquement à l'ensemble tout entier.,135,Toutes ces plantes vont mourir un jour ; ce jardin est donc voué à disparaître.,79,Atrributing properties of the parts of a set to the whole set.,62,"All these plants will die one day, so this garden will disappear.",65,,,0,,,0,,0,"Il y a une question sur l'identité humaine, sachant quen XX combien?) de temps toutes nos cellules sont mortes et remplacées.",,,,,,,circle,,,
511,3.1.3.1.1,"3,1311",5,"Erreur
mathématique","Généralisation
abusive",Transfert illicite,,,,,Appel à la théorie de la récapitulation,39,,,0,https://fr.wikipedia.org/wiki/Théorie_de_la_récapitulation,,"Vous considérez que les différents stades d'évolution d'un être vivant, depuis l'oeuf fécondé jusqu'à l'âge adulte, représentent les différentes étapes d'évolution de son espèce au fil des siècles.",197,"Cette espèce a des poumons, son ancêtre devait une créature marine. ",68,,0,,,,,0,,,0,,,Ben ne voit pas en quoi c'est un argument fallcieux. C'est une fausse théorie qui peut servir d'exemple mais pas une fallcie à mon avis,,,,,,,circle,,,
512,3.1.3.1.2,"3,1312",5,"Erreur
mathématique","Généralisation
abusive",Transfert illicite,,,,,Sophisme métonymique,20,,,0,,http://www.cs.oswego.edu/~blue/xhx/books/semiotics/glossaryM/section111/main.html,Vous symbolisez un ensemble par une de ses parties et estimez que celle-ci présente exactement les mêmes caractéristiques que l'ensemble en question.,149,"Si j'en juge à son pied et sa tenue, cette femme doit être très belle. XXXJ'entends des voix douces dans le noir, ça me donne envie de les caresser.",148,Considering that the part used to represent or stand for a whole is an accurate reflection of that whole.,105,,,,,0,,,0,,,,,,,,,,circle,,,
513,3.1.3.2,"3,132",4,"Erreur
mathématique","Généralisation
abusive",Transfert illicite,ok,1,,,"Sophisme
de division",20,,Division fallacy,16,,https://en.wikipedia.org/wiki/Fallacy_of_division,Vous attribuez les qualités d'un ensemble à chacun de ses éléments.,67,Les tigres royaux sont voués à disparaître prématurément; ce tigre royal mourra donc jeune.,91,Attributing properties of a whole set to each of its individual part.,69,Bengal tigers will disappear very soon. This Bengal tiger will therefore die much too soon.,91,,,0,,,0,,0,,,,,,,,circle,,,
514,3.1.3.2.1,"3,1321",5,"Erreur
mathématique","Généralisation
abusive",Transfert illicite,,,,,Erreur écologique,17,,,0,http://wikipedia.qwika.com/en2fr/Ecological_fallacy,https://en.wikipedia.org/wiki/Ecological_fallacy,Vous interprétez à l'échelle d'un individu des données statistiques relatives à l'ensemble dont il est issu.,108,"80% des étudiants ont trouvé un emploi dans les 6 mois, donc Jean a certainement déjà trouvé un emploi. XXXpas assez spécifique",127,"Deducing, from statistical data, inferences about individuals from inference for the group to which these individuals belong.",125,"Wealthier US states vote democrat, so wealthier people vote republican.",,,,0,,,0,,,,,,,,,,circle,,,
515,3.1.3.2.1.1,"3,13211",6,"Erreur
mathématique","Généralisation
abusive",Transfert illicite,,,,,Paradoxe de Simpson,19,,,0,https://fr.wikipedia.org/wiki/Paradoxe_de_Simpson,,"En combinant plusieurs groupes sur lesquels vous détenez des données statistiques concordantes, vous parvenez à une tendance statistique contraire, faute d'avoir pris en compte certaines variables influant sur le réultat final ou encore la composition qualitative de ces groupes.",279,"Dans le lycée de Springfield, il y a 100 blonds qui mesurent 190 cm, 100 bruns de 189 cm, 199 blondes de 170 cm et 1 brune de 169 cm. En moyenne, blonds > bruns, blondes > brunes mais blond.es < brun.es.
",204,Assuming that a trend appearing consistently in different data groups is maintained in the aggregation of the groups.,117,,,,,0,,,0,,,,,,,,,,circle,,,
516,3.1.3.2.1.2,"3,13212",6,"Erreur
mathématique","Généralisation
abusive",Transfert illicite,,,,,Confusion moyenne-médiane,25,,Votre argument s'appuie sur un moyenne plutôt que la médiane. ,62,,https://en.wikipedia.org/wiki/Ecological_fallacy#Mean_and_median,"Vous omettez d'établir une distinction entre la quantité obtenue en additionnant tous les éléments d'un ensemble et en divisant cette somme par le nombre d'éléments qu'il contient, et le nombre qui partage en deux parties d'égale fréquence les éléments d'une distribution statistique.",284,"Cette classe a eu 7/20 de moyenne générale en maths. Inutile d'en choisir un au hasard pour résoudre ce problème. XXXChasse au oeufs à Springfield. Les 100 blonds en récoltent 1 chacun, aucun brun n'en trouve sauf 1, qui en trouve 101. Les bruns en ont plus que les blonds, donc si je prends un brun et un blond au hasard, le brun en aura plus, n'est-cepas?",357,Considering that positive mean implies positive median.,55,,,,,0,,,0,,,,,,,,,,circle,,,
517,3.1.3.2.1.3,"3,13213",6,"Erreur
mathématique","Généralisation
abusive",Transfert illicite,,,,,Confusion moyenne du tout et de la partie,41,,,0,,https://en.wikipedia.org/wiki/Ecological_fallacy#Group_and_total_averages,"Vous supposez que pour déterminer la moyenne d'un sous-ensemble, il suffit de diviser celle de l'ensemble dont il est issu par le nombre d'éléments qu'il contient.",163,"Il a 30 000 suicides par an sur une population de 30 millions et il y a 10% de Protestants, donc il y a 3000 Protestants qui se suicident par an. ",146,Infering the mean value for a subset from the mean value of the general set.,76,,,,,0,,,0,,,,,,,,,,circle,,,
518,3.1.3.2.1.4,"3,13214",6,"Erreur
mathématique","Généralisation
abusive",Transfert illicite,,,,,Confusion des plans de corrélation,34,,,0,,https://en.wikipedia.org/wiki/Ecological_fallacy#Individual_and_aggregate_correlations,Vous supposez que l'intensité de la liaison existant entre deux variables est la même pour un individu et pour l'ensemble dont il fait partie.,142,"Plus il y a d'ordinateurs dans un pays, plus on y vend du chocolat. Donc c'est normal que plus je passe de temps devant mon écran, plus je mange du chocolat.",157,Considering that variables applying to individuals are correlated like the variables that apply to the aggregate of individuals.,128,,,,,0,,,0,,,,,,,,,,circle,,,
519,3.1.3.2.2,"3,1322",5,"Erreur
mathématique","Généralisation
abusive",Transfert illicite,,,,,Réductionnisme glouton,22,,,0,,https://en.wikipedia.org/wiki/Greedy_reductionism,"Afin d'expliquer un phénomène s'appliquant à un ensemble, vous le simplifiez avbusivement en basant exclusivement votre argumentation sur les caractéristiques des individus qui le composent.",190,"Si le tueur est passé par la porte c'est qu'il était trop grand pour passer par la fenêtre, et donc que c'est un homme. ",120,"Attempting to explain a thing in terms of what it reduces to but failing to consider the complexity of the issue, thus oversimplifying.
",136,,,,,0,,,0,,,,,,,,,,circle,,,
520,3.2,"3,2",2,"Erreur
mathématique","Mauvaise
interprétation",,ok,1,,,"Mauvaise
interprétation",23,,Interpretation fallacy,22,https://fr.wikipedia.org/wiki/Régression_fallacieuse,,Vous établissez des relations inexistantes entre divers éléments.,65,Les apparitions de Nicolas Cage au cinéma ces dix dernières années coïncident avec des pics de noyades en piscine.,114,Making use of erroneous or non-existent relations.,50,The rate of student suicides follows the same pattern as that of Nicholas Cage's appearances on screen.,103,,,0,,,0,,0,,,,,,,,circle,,,
521,3.2.1,"3,21",3,"Erreur
mathématique","Mauvaise
interprétation",Relation infondée,ok,2,,,Relation infondée,17,,Spurious relationship,21,,https://en.wikipedia.org/wiki/Spurious_relationship,Vous attribuez un sens à une simple coïncidence.,48,"Comme j'étais très malade, j'ai prié et cela m'a guéri.",55,Claiming causality between coincident facts when that coincidence could be explained differently.,97,I was sick. I prayed and then I felt better. ,45,,,0,,,0,,0,,,,,,,,circle,,,
522,3.2.1.1,"3,211",4,"Erreur
mathématique","Mauvaise
interprétation",Relation infondée,,,,,Appel à la corrélation-cause,28,,,0,,https://en.wikipedia.org/wiki/Correlation_does_not_imply_causation,Vous considérez qu'établir un lien entre deux variables dans une étude statistique prouve nécessairement que l'une d'elles est la conséquence de l'autre.,153,Plus les moulins à vents tournent vite et plus il y a de vent. Donc le vent est causé par les moulins à vent. ,110,Seeing the concomitance of two phenomena as proof that one causes the other.,76,,,,,0,,,0,,,la descri  décrivait plutôt un ante hoc ergo popter hoc: ce qui vient après est la cause de ce qui vient avant...,Cum hoc ergo propter hoc,,,,,,circle,,,
523,3.2.1.2,"3,212",4,"Erreur
mathématique","Mauvaise
interprétation",Relation infondée,,,,,Appel à la temporalité-cause,28,,,0,78eafdf3-71ee-4032-a926-faf16637fc1d,https://en.wikipedia.org/wiki/Post_hoc_ergo_propter_hoc,Vous considérez que la succession chronologique de deux événements prouve nécessairement que l'un est la conséquence de l'autre.,128,"Le merle chante juste avant le lever du soleil, donc le chant du merle fait se lever le soleil. ",96,Seeing the succession of two phenomena as the proof that the one occuring first is the cause of the one occuring after.,119,,,,,0,,,0,,,,Post hoc ergo propter hoc,,,,,,circle,,,
524,3.2.1.3,"3,213",4,"Erreur
mathématique","Mauvaise
interprétation",Relation infondée,ok,2,,,Sophisme de régression,22,,Regressive fallacy,18,http://www.fallacyfiles.org/regressf.html,http://www.skepdic.com/regressive.html,Vous attribuez une cause erronée à ce qui n'est que le résultat d'une fluctuation tout à fait normale.,102,"Il y a peu, au casino, j'ai gagné trois fois le jackpot ; mais depuis que j'ai bu un jus de tomate, je perds sans discontinuer : maudit jus de tomate !",151,"Explaining a mere movre from extremes to average, caused by natural fluctuation, by a cause you intend to so prove.",115,I won the lottery three times in row. Then I had tomato juice and I haven't won anything. Tomato juice is bad luck.,115,,,0,,,0,,0,,,,,,,,circle,,,
525,3.2.1.4,"3,214",4,"Erreur
mathématique","Mauvaise
interprétation",Relation infondée,,,,,Pêche aux données,17,,,0,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/142/Post-Designation,"Ayant omis de préciser dès le départ ce que vous cherchiez à démontrer, vous établissez, à partir de l'observation d'un échantillon, une conclusion invalide.",157,"J'ai trouvé que 9 de mes élèves sur 10 étaient fils ou fille unique, donc nous allons vers une société de fils et de filles uniques. ",133,"Drawing conclusion from a tendency observed in a sample, but without having declared the searched tendency prior to studying the sample. ",137,"In looking at the difference between 100 Christians and 100 atheists, we found that Christians were significantly more likely to eat tuna fish.",,,,0,,,0,,,,,,,,,,circle,,,
526,3.2.1.4.1,"3,2141",5,"Erreur
mathématique","Mauvaise
interprétation",Relation infondée,ok,1,,,"Tireur
d'élite texan",20,,Texas sharpshooter,18,https://fr.wikipedia.org/wiki/Sophisme_du_tireur_d'%C3%A9lite_texan,http://www.skepdic.com/texas.html,Vous prétendez déduire une relation causale d'une série d'événements fortuits possédant des caractéristiques similaires.,120,"On trouve des pyramides au Mexique, en Égypte et au Cambodge, ce qui prouve qu'une même entité a inspiré tous ces peuples.",122,"Outlining a pattern in data, then inventing for it an explanation which you claim to have proven.",97,"We found pyranmids in Egypt, Mexico and Cambodia. It must be that an alien taught these 3 distinct civilizations. 
",115,,,0,,,0,,0,liens t: cueillette des cerises illusion des séries,,Les filles sont sous-représentées dans les filières liées aux mathématiques ; les garçons sont donc naturellement plus doués qu'elles dans cette discipline.,Women are under-represented in math studies. It must be that they have a less mathematical brain than men.,,,,circle,,,
527,3.2.1.4.2,"3,2142",5,"Erreur
mathématique","Mauvaise
interprétation",Relation infondée,,,,,Comparaisons multiples,22,,,0,,http://www.fallacyfiles.org/multcomp.html,"Vous prétendez identifier la cause d'un phénomène en examinant des données statistiques à l'aune de diverses variables jusqu'à l'obtention d'un résultat probant, considérant abusivement votre conclusion comme exacte alors qu'elle est en réalité de l'ordre d'une probabilité.",274,La probabilité de souffrir de migraines augmente par 5 pour ceux qui vivent à moins de 20 mètres d'une antenne télécom. ,120,Multiplying statistical comparisons untill one proves the hypothesis thanks to luck.,84,,,,,0,,,0,,,,,,,,,,circle,,,
528,3.2.1.4.3,"3,2143",5,"Erreur
mathématique","Mauvaise
interprétation",Relation infondée,,,,,Sophisme du chausse-pied,24,,,0,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/161/Shoehorning,Vous prétendez a posteriori qu'un phénomène est la cause d'un autre en énonçant les faits de manière à ce qu'ils corroborent votre thèse.,137,Le travail coûte trop cher en France. La preuve est que nous n'avons pas remporté cet appel d'offre. ,101,"Force-fitting some current affair into one's personal, political, or religious agenda.",86,,,,,0,,,0,,,,,,,,,,circle,,,
529,3.2.1.4.4,"3,2144",5,"Erreur
mathématique","Mauvaise
interprétation",Relation infondée,,,,,Statistiques de l'occulte,25,,,0,,http://skepdic.com/occultstats.html,Vous considérez des données numériques observées sur un groupe d'individus comme une preuve de la véracité de vos croyances indémontrables.,139,"Vos ascendants astrologiques sont compatibles, et un mariage paisible s'offre à vous.  ",87,Seeing in statistical anomalies the proof of some irrational beliefs.,69,,,,,0,,,0,,,,,,,,,,circle,,,
530,3.2.2,"3,22",3,"Erreur
mathématique","Mauvaise
interprétation",Probabilités faussées,ok,2,,,Probabilités faussées,21,,Probabilistic fallacy,21,,http://www.fallacyfiles.org/probfall.html,Votre argumentation s'appuie sur une utilisation erronée des lois mathématiques du calcul de l'aléatoire.,105,"L'ADN laissé par l'auteur de ce crime présente une particularité que l'on ne trouve que chez dix pour cent de la population, singularité également présente dans l'ADN de l'accusé que voici ; on peut donc affirmer à quatre-vingt-dix pour cent que cet homme est coupable.",269,"Using arguments based on erroneous probabilistic reasoning.
",60,"The culprit and the suspect share a DNA trait that only 10% of the people have. Therefore, the suspect has a 90% chance of being guilty.",136,,,0,,,0,,0,,,,,,,,circle,dés et cartes,,
531,3.2.2.1,"3,221",4,"Erreur
mathématique","Mauvaise
interprétation",Probabilités faussées,,,,,Appel à la probabilité avérée,29,,,0,,https://en.wikipedia.org/wiki/Appeal_to_probability,Vous considérez comme une certitude une simple conjecture.,58,"Si je ne prends pas mon parapluie, alors il va pleuvoir. ",57,Taking something for granted because it would probably be the case.,67,,,,,0,,,0,,,,,,,,,,circle,,,
532,3.2.2.1.1,"3,2211",5,"Erreur
mathématique","Mauvaise
interprétation",Probabilités faussées,,,,,Sophisme du cas où,18,,,0,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/116/Just-In-Case-Fallacy,Votre argumentation repose sur les pires scénarios possibles et non les plus plausibles.,88,"Vous devriez nous acheter une alarme, on ne sait jamais de nos jours. ",70,Making an argument based on the worst-case scenario rather than the most probable scenario.,91,,,,,0,,,0,,,,,,,,,,circle,,,
533,3.2.2.2,"3,222",4,"Erreur
mathématique","Mauvaise
interprétation",Probabilités faussées,,,,,Appel à la probabilité conditionnelle,37,,,0,,,Votre argumentation repose sur une conjecture qui elle-même présuppose la survenue d'un événement donné.,104,,0,,0,,,,,0,,,0,,,,,,,,,,circle,,,
534,3.2.2.2.1,"3,2221",5,"Erreur
mathématique","Mauvaise
interprétation",Probabilités faussées,,,,,Oubli de la fréquence de base,29,,,0,https://fr.wikipedia.org/wiki/Oubli_de_la_fréquence_de_base,https://en.wikipedia.org/wiki/Base_rate_fallacy,"Dans l'estimation d'une probabilité, vous omettez de tenir compte a priori des conjectures induites par la composition de l'échantillon sur lequel porte votre calcul, ce qui vous conduit généralement à un résultat final supérieur au nombre exact.",246,"Nous avons 1% de la population qui fichée comme ""terroriste"" et notre système de vidéosurveillance est fiable à 99% , donc nous avons 99% de chance d'attraper les terroristes. XXXUn conducteur sur 1000 a bu et notre éthylotest détecte 5% de faux-positifs. Testé au hasard, vous êtes positif, donc vous avez 95% de chance d'avoir bu.",332,Estimating conditional probabilities without taking into account a priori probabilities.,88,,,,,0,,,0,,,,,,,,,,circle,,,
535,3.2.2.2.2,"3,2222",5,"Erreur
mathématique","Mauvaise
interprétation",Probabilités faussées,,,,,Argument de l'Apocalypse,24,,,0,https://fr.wikipedia.org/wiki/Argument_de_l'apocalypse,https://en.wikipedia.org/wiki/Doomsday_argument,"Vous prédisez la date de la fin de l'humanité en basant votre raisonnement sur un calcul de probabliités biaisé, car celui-ci présuppose notamment que le nombre total de personnes ayant vécu ou destinées à vivre sur terre soit un nombre fini et que le taux de croissance de la population mondiale demeure constant.",314,HELP !!!,8,,0,,,,,0,,,0,,,"Ca serait pas plutôt un example de proba problématique que d'argument fallacieux? J'imagine mal quelqu'un.e l'utiliser dans un débit, c un pb de philo des proba...",,,,,,,circle,,,
536,3.2.2.2.3,"3,2223",5,"Erreur
mathématique","Mauvaise
interprétation",Probabilités faussées,,,,,Sophisme du procureur,21,,,0,https://fr.wikipedia.org/wiki/Sophisme_du_procureur,,"Vous confondez la probabilité qu’un événement survienne dans un cas général avec celle qu’un événement soit survenu dans un cas particulier, ce qui vous conduit à une erreur de calcul.",184,On sait que le coupable a un trait ADN que n'ont que 10% des gens. L'accusé a ce trait. Donc l'accusé a 90% de chances d'être coupable. ,136,,0,,,,,0,,,0,,,C'est pas la même chose que l'oubli de la fréquence de base?,,,,,,,circle,,,
537,3.2.2.2.4,"3,2224",5,"Erreur
mathématique","Mauvaise
interprétation",Probabilités faussées,,,,,Appel aux probabilités inversées,32,,Confusion of the inverse,24,,https://en.wikipedia.org/wiki/Confusion_of_the_inverse,Vous estimez que la probabilité de survenue d'un événement A sachant qu'un événement B a eu lieu est la même que la probabilité de survenue de l'événement B sachant que l'événement A a eu lieu. ,194,80% des conducteurs qui ont bu ont des accidents. Donc le conducteur de cet accident a 80% de chance d'avoir bu.,112,"Assuming that, given two events A and B, the probability of A happening given that B has happened is about the same as the probability of B given A.",148,Drunk drivers have 80% chance of having an accident. The driver of that accident thus has 80% chance of having been drinking.,,,,0,,,0,,,,,,,,,,circle,,,
538,3.2.2.3,"3,223",4,"Erreur
mathématique","Mauvaise
interprétation",Probabilités faussées,,,,,Appel à la ruine du joueur,26,,Gambler's ruin,14,,https://en.wikipedia.org/wiki/Gambler%27s_ruin,"Pour inciter votre interlocuteur à parier, vous lui dissimulez qu'à long terme, s'il augmente sa mise chaque fois qu'il gagne et ne la diminue pas quand il perd, même si les probabilités de gain lui semblent à chaque coup favorables, il finira par perdre tout son capital de départ.",282,"Tu étais sûr de tout perdre, même à un jeu juste, car tu as joué contre un joueur dont la richesse est infinie par rapport à la tienne.
",136,Concealing the certain long-term ruin of a player under a series of seemingly beneficial or fair bets. ,103,You played a fair game agaisnt a gambler infinitely wealthier than you: your ruin was only a matter of time.,,,,0,,,0,,,,,,,,,,circle,,,
539,3.2.2.3.1,"3,2231",5,"Erreur
mathématique","Mauvaise
interprétation",Probabilités faussées,ok,1,1,,"Main
chaude",11,,Hot hand fallacy,16,,http://www.fallacyfiles.org/hothandf.html,Vous évaluez vos chances de succès à l'aune de la réussite de tentatives récentes. ,83,Mieux vaut ne rien entreprendre : rien ne me réussit ces temps-ci !,67,"Predicting future luck on the basis of past events.
",52,"I'd rather not initiate anything at the moment, because I've just experienced a series of failures. ",100,,,0,,,0,,0,,la baraka,,,,,,circle,dés,,
540,3.2.2.3.2,"3,2232",5,"Erreur
mathématique","Mauvaise
interprétation",Probabilités faussées,,,,,Erreur du parieur,17,Monte Carlo's Fallacy,Gambler's fallacy,17,https://fr.wikipedia.org/wiki/Erreur_du_parieur,https://en.wikipedia.org/wiki/Gambler%27s_fallacy,"Lors d'un tirage aléatoire, si un même événement statistiquement exceptionnel se produit plusieurs fois de suite, vous prétendez que les événements suivants donneront sans doute à plusieurs reprises le résultat opposé.",218,"Je viens de tirer ""pile"" sept fois de suite. La prochaine fois ne peut être que ""face"". ",88,Arguing that statistical variations will be compensated by future outcomes of random bets.,90,"I'm in a losing streak, so I should keep playing, a lucky streak is about to come compensate this statistical deviation.",,,,0,,,0,,,,,,,,,,circle,,,
541,3.2.2.3.3,"3,2233",5,"Erreur
mathématique","Mauvaise
interprétation",Probabilités faussées,,,,,Erreur inverse du parieur,25,Retrospective gambler's fallacy,Inverse gambler's fallacy,25,,https://en.wikipedia.org/wiki/Inverse_gambler%27s_fallacy,"Lors d'un tirage aléatoire, si un événement statistiquement exceptionnel se produit, vous prétendez qu'il intervient nécessairement au terme d'une longue série de tirages.",171,"Tu as dû passer des heures à lancer ces deux dés pour obtenir trois double-six de suite !
",90,"Concluding, on the basis of an unlikely outcome of a random process, that the process is likely to have occurred many times before.",131,Wow you got 3 consecutive double-sixes! How many hours did you spend rolling these 2 dice to get such a feat? ,,,,0,,,0,,,,,,,Théorie du bocal ?,,,circle,,,
542,3.2.2.3.4,"3,2234",5,"Erreur
mathématique","Mauvaise
interprétation",Probabilités faussées,,,,,Vanité du parieur,17,,Gambler's conceit,17,,https://en.wikipedia.org/wiki/Gambler%27s_conceit,Vous prétendez être capable de vous retirer d'un jeu de hasard avant de prendre de trop grands risques.,103,J'arrête de parier dès que j'ai gagné davantage que j'ai perdu. ,64,Vainly trusting one's self-control to enable them to stop playing while still ahead in winnings and thus avoid bankrupcy.,121,I’ll quit when I’m ahead.,,,,0,,,0,,,,,,,,,,circle,,,
543,3.2.3,"3,23",3,"Erreur
mathématique","Mauvaise
interprétation",Justification infinie,ok,2,3,,Justification infinie,21,,Infinite regress,16,https://fr.wikipedia.org/wiki/Argument_de_la_r%C3%A9gression,https://en.wikipedia.org/wiki/Infinite_regress,Vous exigez que soit prouvée la véracité de la moindre des propositions avancées par votre contradicteur.,105,"Admettons que Dieu ait créé l'homme ; dans ce cas, qui a créé Dieu ?",68,"Demanding justification for each justification, in a never ending process.",74,"But if god made Man, who made God?",34,,,0,,,0,,0,"ref Aristotle: Aristotle, Posterior Analytics I.3 72b1–15",ad infinitum,,,"Avec un mensonge on va loin, mais sans espoir de retour.""",,,circle,,,
544,3.2.3.1,"3,231",4,"Erreur
mathématique","Mauvaise
interprétation",Justification infinie,ok,1,2,,Sophisme du continuum,21,,Continuum fallacy,17,,https://en.wikipedia.org/wiki/Continuum_fallacy,"Vous déclarez une proposition invalide car trop vague et exigez que certaines des notions énoncées, par essence progressives, soient clairement bornées, niant par là-même la nature de ces dernières et rendant l'exercice impossible.",231,Quel mal peut faire une cigarette de plus ou de moins ?,55,Denying the continuous or gradual nature of a phenomenon.,57,One more cigarette is so little: what difference does it make?,62,,,0,,,0,,0,Lien t avec le pari de Loki. Graduel est justement pas continu en math,,,,,5.1.1.2,,circle,construction de barrières,,
545,3.2.3.1.1,"3,2311",5,"Erreur
mathématique","Mauvaise
interprétation",Justification infinie,,,,,Argument de la barbe,20,,Argument of the beard,21,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/58/Argument-of-the-Beard,"Dans le cadre d'un continuum, vous prétendez que s'il est impossible de déterminer le point précis où une réalité en devient une autre, alors les deux extrêmes du continuum ne peuvent être distingués.",200,"Sylvain n'a pas de barbe aujourd'hui. Il n'en aura pas non plus demain, même sans se raser, un jour de plus be fera pas de différence. Donc il ne pourra jamais avoir de barbe.",175,"Denying the possibility of an opposite state by arguing that there is no decisive boundary between the two states.
",115,"Fred is clean-shaven now. If a person has no beard, one more day of growth will not cause them to have a beard. Therefore, Fred can never grow a beard.",,,,0,,,0,,,,,,,,5.3.2.1.2.1,,circle,,,
546,3.2.3.2,"3,232",4,"Erreur
mathématique","Mauvaise
interprétation",Justification infinie,,,,,Hypothèse de l'homoncule,24,,Homunculus argument,19,https://fr.wikipedia.org/wiki/Hypothèse_de_l%27homoncule,https://en.wikipedia.org/wiki/Homunculus_argument,Vous prétendez rendre compte d'un phénomène avec les termes du phénomène que vous êtes censé expliquer.,103,"Pour comprendre le système visuel, considérez la rétine comme un écran de cinéma que regarderait... un mini spectateur dans le cerveau ?",136,Explaining a phenomenom by a mechanism which involves that very phenomenon.,75,"Think of the visual system as of a movie theatre: the retina is the screen, and the brain the spectator.
",,,,0,,,0,,,,,,,,,,circle,,,
547,3.3,"3,3",2,"Erreur
mathématique","Résultat
invalide",,ok,1,,,"Résultat
invalide",17,,Invalid result,14,,,Vos conclusions reposent sur un raisonnement mathématique erroné.,65,L'accélération moyenne de la voiture A est supérieure à celle de la voiture B ; la voiture A roule donc plus vite que la voiture B.,131,Drawing conclusions from invalid mathematical reasoning.,56,"Our toothpaste has a 67% higher quality than other, more ordinary brands of toothpaste.",87,,,0,,,0,,0,"exemple dentifrice ok. on ne voit pas quel est le raisonnement matheux foiruex, mais on devine bien une couille dans le paté. Donc c bien pour une catégorie de niveau 2
",,Rien de tel qu'une bonne guerre pour stimuler l'économie !,Nothing beats a good war to create economic growth.,,,,circle,savant cosinus sur son tableau,,
548,3.3.1,"3,31",3,"Erreur
mathématique","Résultat
invalide",Imprécision,Jesse OK,2,,,Imprécision,11,,Vagueness,9,,http://www.fallacyfiles.org/vaguenes.html,Votre argumentation se fonde sur des données trop vagues.,57,"Pour le même prix, offrez-vous notre nouvelle formule double fraicheur !",72,Using arguments based on imprecise data.,40,Try our new formula with double fresh effect for the same price.,64,,,0,,,0,,0,On pourrait faire mieux sur les exemples,,,,,,,circle,,,
549,3.3.1.1,"3,311",4,"Erreur
mathématique","Résultat
invalide",Imprécision,,,,,Précision trompeuse,19,"overprecision
",spurious accuracy,17,,https://en.wikipedia.org/wiki/False_precision,Vous tentez de convaincre votre interlocuteur en citant des données chiffrées dont la netteté détonne avec le discours plutôt flou qu'elles sont censées étayer.,160,"Le squelette de ce dinosaure a 100 000 005 ans car, il y a 5 ans, des scientifiques lui ont donné 100 000 000 ans.",114,"Presenting numerical data in manner that implies better precision than is justified.
",85,"This dinosaur skeleton is 100,000,005 years old, because an expert told me  5 years ago that it was 100 million years old.",,,,0,,,0,,,,,,,,,,circle,,,
550,3.3.1.1.1,"3,3111",5,"Erreur
mathématique","Résultat
invalide",Imprécision,,,,,Statistiques manipulées,23,,Lying with statistics,21,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/122/Lying-with-Statistics,Vous interprétez abusivement des données d'observation relatives à un groupe d'individus de manière à servir votre propos.,122,Tu as vu les chiffres ? Le moral de la population est en chute libre !,70,Erroneously using statistics in order to decorate an argumentation.,67,,,,,0,,,0,,,,,,,,,,circle,,,
551,3.3.1.2,"3,312",4,"Erreur
mathématique","Résultat
invalide",Imprécision,Jesse OK,1,2,,"Faux
équilibre",14,,False balance,13,https://fr.wikipedia.org/wiki/Faux_%C3%A9quilibre_m%C3%A9diatique,https://en.wikipedia.org/wiki/False_balance,Vous attribuez injustement la même valeur à deux points de vue différents.,74,La communauté scientifique est divisée quant à la réalité du changement climatique.,83,Presenting opposing viewpoints as more balanced than they actually are.,71,The reality of global warming is a matter of debate within the scientific community.,84,,,0,,,0,,0,,,,,"Il faut qu'une porte soit ouverte ou fermée.""",,,circle,élépĥant funambule,,
552,3.3.1.2.1,"3,3121",5,"Erreur
mathématique","Résultat
invalide",Imprécision,,,,,Appel au conflit prétexte,25,, Inflation of conflict,22,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/113/Inflation-of-Conflict,Vous prétendez qu'il est impossible d'aboutir à une conclusion sur un sujet sous prétexte que les autorités compétentes en la matière sont en désaccord entre elles sur ce point.,177,"Ma mère me dit de commencer mes devoirs par le français, mon père par les maths, ça sert à rien tout ça, je vais jouer. ",120,Justifying non-conclusive positions by contradicting authorities.,65,"Mum says to start with English, dad with math, I'd rather give up on my homework.",,,,0,,,0,,,,,,,,,,circle,,,
