PK,path,decimal_path,depth,Famille,Famille_camelCase,Sous-Famille,Soussousfamille,état,carte,niveau,nom_vulgarisé,Latin,text_fr,LTfr,desc_fr,Lfr115,example_fr,Lxfr145,link_fr,Family,Subfamily,Subsubfamily,text_en,LTen,Simple_name_en,desc_en,Len115,example_en,example_en_bis,link_en,Lxen145,Remarques,latin,exemple politique,political_example_en,proverbe,Family_ru,Subfamily_ru,Subsubfamily_ru, text_ru,desc_ru,example_ru,link_ru,edition_fevrier_2022,print_&_play_fevrier_2022,+liens transverses,type lien transverse,shape,image,svg_color,svg_illustration,decimal_path_padded,depth_max4
588,4.1.2,"4,12",3,Erreur de raisonnement,erreurDeRaisonnement,Causalité douteuse,Inversion de causalité,,2,4,,,Inversion de causalité,22,Vous considérez les conséquences d'un fait comme l'ayant provoqué ou vice versa.,80,"Il est dangereux d'utiliser un fauteuil roulant, puisque la plupart des personnes qui en sont équipées ont déjà été victimes d'accidents.",137,http://sophismes.free.fr/#causal,Faulty logics,Questionable causality,Reversed causality,Reversed causality,18,,Permuting cause and effect.,27,"Using a wheelchair is dangerous, because most people who use them have had an accident.",,https://en.wikipedia.org/wiki/Wrong_direction,87,,,,,,Ошибка рассуждения,Сомнительная причинно-следственная связь,Обратная причинно-следственная связь,Обратная причинно-следственная связь,Причины вы принимаете за следствия и наоборот. ,"Это инвалидное кресло использовать опасно, потому что большинство людей, которые им пользовались, оказались жертвами аварий. ",,1,,,,circle,,,,4.1200000,3
589,4.1.2.1,"4,121",4,Erreur de raisonnement,erreurDeRaisonnement,Causalité douteuse,Inversion de causalité,,1,3,,,Affirmation du conséquent,25,Vous déduisez une cause de son effet sans prendre en compte les autres causes possibles.,88,"Après une averse, le sol est toujours mouillé. Le sol est mouillé donc il a plu.",80,https://fr.wikipedia.org/wiki/Affirmation_du_consA13%A9quent,Faulty logics,Questionable causality,Reversed causality,Affirming the consequent,24,,Inferring the antecedent from the consequent of an implication without considering alternate causes.,100,"When I have the flu, I have a sore throat. Today I have a sore throat.Thus I have the flu.",,https://en.wikipedia.org/wiki/Affirming_the_consequent,90,,,,,,Ошибка рассуждения,Сомнительная причинно-следственная связь,Обратная причинно-следственная связь,Утверждение на основе последствия,"Вы выводите причину из следствия, не учитывая, что причины могут быть иными. ","После ливня земля всегда мокрая. Земля мокрая, значит, был ливень. ",,1,1,,,circle,,,,4.1210000,4+
594,4.1.2.5,"4,125",4,Erreur de raisonnement,erreurDeRaisonnement,Causalité douteuse,Inversion de causalité,,2,6,,,Sophisme de la double faute,27,"
Vous considérez que l'incohérence des actes ou des propositions antérieures de votre interlocuteur disqualifie ses arguments présent, sans qu'il soit besoin de les réfuter.
",174,"- Pourquoi refuses-tu de me rendre ma trottinette ?
- Parce que tu m'as menti.",78,https://fr.wikipedia.org/wiki/Two_wrongs_make_a_right,Faulty logics,Questionable causality,Reversed causality,Two wrongs make a right,23,,attempting to amend a faulty step by another faulty step.,57,"True, not all burger eaters are obese, but since we didn't mention the soda that usually comes with it...",,https://en.wikipedia.org/wiki/Two_wrongs_make_a_right,105,"J'ai modifié la définition d'après celle que j'avais rédigée à l'époque où j'avais le meme projet que vous - J
",,,,moins par moins égale plus.,Ошибка рассуждения,Сомнительная причинно-следственная связь,Обратная причинно-следственная связь,Софизм двойной ошибки,"Вы считаете, что непоследовательность в действиях или словах вашего собеседника в прошлом обесценивает его аргументы в настоящем, и что опровергать их не нужно. ",- Почему ты не отдаешь мне самокат? - Потому что ты мне наврал. ,,,,,,circle,XXXthierry lermitte donne un coup de baton de ski pour que la fille n'aie plus mal à sa jambe cassée.,,,4.1250000,4+
600,4.1.3,"4,13",3,Erreur de raisonnement,erreurDeRaisonnement,Causalité douteuse,Effet cigogne,,1,1,,,Effet cigogne,13,"Sous prétexte que deux phénomènes sont corrélés, vous établissez entre eux un lien de cause à effet.",100,Les naissances sont plus nombreuses dans les régions qui comptent le plus de nids de cigognes. Ce sont donc bien elles qui apportent les bébés.,143,https://fr.wikipedia.org/wiki/Cum_hoc_ergo_propter_hoc,Faulty logics,Questionable causality,Causalation,Causalation,11,,Asserting a causality relation between two phenomena on grounds of them being correlated. ,90,"Statistics show that the more storks, the more babies. This proves that storks bring babies.",,https://en.wikipedia.org/wiki/Correlation_does_not_imply_causation,92,,Cum hoc ergo propter hoc,"Quand un pays s'endette, la croissance ralentit ; l'endettement nuit donc à la croissance.","When a country's debt rises, growth slows.Therefore, debt slows growth down.",,Ошибка рассуждения,Сомнительная причинно-следственная связь,Эффект аиста,Эффект аиста,"Под предлогом того, что два феномена связаны, вы устанавливаете между ними причинно-следственную связь. ","Рождаемость выше в тех регионах, в которых встречается больше всего гнезд аистов. Так что аисты младенцев и приносят. ",,1,1,,,circle,,,,4.1300000,3
608,4.2,"4,2",2,Erreur de raisonnement,erreurDeRaisonnement,Mauvaise composition,,,1,6,,,Mauvaise composition,20,Votre raisonnement repose sur un enchaînement erroné de propositions logiques.,78,"Plus il y a de gruyère, plus il y a de trous ; or plus il y a de trous, moins il y a de gruyère. Donc plus il y a de gruyère, moins il y en a.",142,,Faulty logics,Spurious composition,,Spurious composition,20,,Faulty chaining of logical assertions.,38,,,http://www.fallacyfiles.org/glossary.html#Connective,0,,,,,,Ошибка рассуждения,Неправильная композиция,,Неправильная композиция,Ваше суждение основано на фальшивой связи логических умозаключений. ,"Чем больше сыра, тем больше дырок, чем больше дырок - тем меньше сыра. Так что чем больше сыра, тем его меньше. ",,   ,,,,circle,jeux de forme bébé,,,4.2000000,2
609,4.2.1,"4,21",3,Erreur de raisonnement,erreurDeRaisonnement,Mauvaise composition,Erreur de logique propositionnelle,,2,5,,,Erreur de logique propositionnelle,34,Votre raisonnement repose sur une mauvaise articulation d'éléments dont vous considérez qu'ils ne peuvent être qu'entièrement vrais ou entièrement faux.,152,"Il ne peut pas pleuvoir et neiger en même temps ; du coup, s'il ne pleut pas, il neige.",87,,Faulty logics,Spurious composition,Propositional logic fallacy,Propositional logic fallacy,27,,Argumenting with faulty manipulation of True or False logical propositions.,75,"It can't be both raining and snowing. It's not raining, therefore it's snowing.",,http://www.fallacyfiles.org/glossary.html#Connective,79,,,,,,Ошибка рассуждения,Неправильная композиция,Логическая ошибка в предложении,Логическая ошибка в предложении,Ваше суждение основано на неправильном обращении с элементами. ,"Не может одновременно идти дождь и снег, так что, если снег не идет, значит, идет дождь. ",,,,,,circle,,,,4.2100000,3
611,4.2.1.2,"4,212",4,Erreur de raisonnement,erreurDeRaisonnement,Mauvaise composition,Erreur de logique propositionnelle,,2,,,,Négation de l'antécédent,24,Vous déduisez la fausseté d'une conсlusion de la fausseté d'une condition suffisante. ,86,"S'il pleut, le sol est mouillé. Il n'a pas plu donc le sol est mouillé.",71,https://fr.wikipedia.org/wiki/N%C3%A9gation_de_l%27ant%C3%A9c%C3%A9dent,Faulty logics,Spurious composition,Propositional logic fallacy,Denying the antecedent,22,Inverse error,Invalidating a conclusion on grounds of the Falsity of a sufficient condition.,78,,,https://en.wikipedia.org/wiki/Denying_the_antecedent,,XXXX confusion nécessaire et suffisantXXXXx,,,,,Ошибка рассуждения,Неправильная композиция,Логическая ошибка в предложении,Отрицание предшествующего,Из ложности вывода вы выносите суждение о ложности достаточного условия. ,"Если идет дождь, земля мокрая. Дождь не шел, значит, земля мокрая. (?)",,,,,,circle,,,,4.2120000,4+
615,4.2.1.5.1,"4,2151",5,Erreur de raisonnement,erreurDeRaisonnement,Mauvaise composition,Erreur de logique propositionnelle,,1,2,,,Affirmation d'une disjonction,29,Vous présentez à tort les termes d'un choix comme incompatibles.,64,Prendrez-vous du fromage ou un dessert ?,40,https://fr.wikipedia.org/wiki/Affirmation_d%27une_disjonction,Faulty logics,Spurious composition,Propositional logic fallacy,Affirming a disjunct,20,,"Claiming that the terms of an ""or"" statement can't be simultaneously true.",74,Will you have beans or eggs for breakfast?,,http://www.fallacyfiles.org/afonedis.html,42,"4. LOG. Proposition alternative (Proposition) ,,qui énonce deux choses dont une seule est vraie.`` (Foulq.-St-Jean 1962). Cf. alternative. CNRTL. Donc changer le nom. 
lien faux dilemme?",,,,,Ошибка рассуждения,Неправильная композиция,Логическая ошибка в предложении,Логическая дизъюнкция,Вы ложным образом преподносите элементы как несовместимые. ,Вы будете сыр или десерт?,,1,1,,,circle,,,,4.2151000,4+
618,4.2.2,"4,22",3,Erreur de raisonnement,erreurDeRaisonnement,Mauvaise composition,Erreur de quantification,,2,5,,,Erreur de quantification,24,"Vous utilisez à mauvais escient les déterminants indéfinis tels tous, certains, aucun, etc.",91,Tous les philosophes sont sages ; cependant quelques-uns sont idiots.,69,,Faulty logics,Spurious composition,Quantification fallacy,Quantification fallacy,22,,"Misusing quantifiers such as ""all"", ""none"" or ""some"".",53,"All philosophers are wise, although some of them are idiots.",,http://www.fallacyfiles.org/quanfall.html,60,,,,,,Ошибка рассуждения,Неправильная композиция,Количественная ошибка,Количественная ошибка,"Вы неправильно используете такие неопределенные прилагательные, как все, некоторые, никакой, и т.п.","Все философы мудры, однако, некоторые из них - идиоты. ",,1,,,,circle,,,,4.2200000,3
624,4.2.2.2,"4,222",4,Erreur de raisonnement,erreurDeRaisonnement,Mauvaise composition,Erreur de quantification,,2,,,,Inférence immédiate erronnée,28,Votre argument fait une implication erronnée à partir d'une proposition quantifiée. ,84,"Il est faux que tous les chiens sont blancs, donc il n'y a pas de chiens blancs. ",81,,Faulty logics,Spurious composition,Quantification fallacy,Faulty immediate inference,26,,Your argument makes an erroneous implication from a quantified proposition.,75,"Not all dogs are white, so there is no white dog.",,https://en.wikipedia.org/wiki/Immediate_inference,,,,,,,Ошибка рассуждения,Неправильная композиция,Количественная ошибка,Неверный немедленный вывод,Ваш аргумент делает ошибочный вывод из квантифицированного предложения.,"Не все собаки белые, поэтому не бывает белых собак.",,,,,,circle,,,,4.2220000,4+
629,4.2.3,"4,23",3,Erreur de raisonnement,erreurDeRaisonnement,Mauvaise composition,Erreur de modalité,,2,5,,,Erreur de modalité,18,Votre argumentation nuance mal les modalités du vrai.,53,"Maman prétend que je ne peux pas manger des bonbons après m'être brossé les dents ; pourtant, j'y parviens sans difficulté !",124,https://fr.wikipedia.org/wiki/Logique_modale,Faulty logics,Spurious composition,Modal logic fallacy,Modal logic fallacy,19,,Making errors in the manipulation of the quality and degree of truth of your propositions.,90,"Mom says I can't eat sweets after I brushed my teeth, and yet I'm able to do it.",,http://www.fallacyfiles.org/modalfal.html,80,,,,,,Ошибка рассуждения,Неправильная композиция,Ошибка модальности,Ошибка модальности,Ваша аргументация неправильно различает модальности. ,"Мама утверждает, что я не могу есть конфеты после того, как я почищу зубы, а у меня это получается без проблем!",,1,,,,circle,,,,4.2300000,3
635,4.2.3.1.1,"4,2311",5,Erreur de raisonnement,erreurDeRaisonnement,Mauvaise composition,Erreur de modalité,,2,,,,Sophisme de l'homme masqué,26,Votre argument identifie les propriétés d'objets qui font l'objet de connaissances distinctes. ,95,"Lois Lane pense que Superman peut voler. Lois Lane pense que Clark Kent ne peut pas voler. Par conséquent, Superman et Clark Kent ne sont pas la même personne.",159,https://en.wikipedia.org/wiki/Masked-man_fallacy,Faulty logics,Spurious composition,Modal logic fallacy,Masked Man Fallacy,18,"Intensional Fallacy, epistemic fallacy, illicit substitution of identicals",Your argument identifies properties of objects that are the subject of separate knowledge.,90,Lois Lane thinks Superman can fly. Lois Lane thinks Clark Kent cannot fly. Therefore Superman and Clark Kent are not the same person.,,https://en.wikipedia.org/wiki/Masked-man_fallacy,,,,,,,Ошибка рассуждения,Неправильная композиция,Ошибка модальности,Ошибка о человеке в маске,"Ваш аргумент идентифицирует свойства объектов, которые являются предметом отдельного знания.","Лоис Лейн считает, что Супермен умеет летать. Лоис Лейн считает, что Кларк Кент не умеет летать. Следовательно, Супермен и Кларк Кент — не одно и то же лицо.",https://ru.wikipedia.org/wiki/%D0%9E%D1%88%D0%B8%D0%B1%D0%BA%D0%B0_%D0%BE_%D1%87%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA%D0%B5_%D0%B2_%D0%BC%D0%B0%D1%81%D0%BA%D0%B5,,,,,circle,,,,4.2311000,4+
636,4.3,"4,3",2,Erreur de raisonnement,erreurDeRaisonnement,Mauvaise déduction,,,1,4,,,Mauvaise déduction,18,Vos hypothèses de départ ne permettent pas de construire un raisonnement qui justifie vos conclusions.,102,"Si l'on ne trouve pas de solution, c'est qu'il n'y a pas de problème.",69,,Faulty logics,Wrong entailment,,Wrong entailment,16,,You  logically derive conclusions from premises which can't lead to them.,73,"The sun is shining, therefore it's a hot day, I can leave my coat home.",,,71,,,,,,Ошибка рассуждения,Ложная дедукция,,Ложная дедукция,"Ваши изначальные гипотезы не позволяют построить рассуждение, которое бы обосновало вывод. ","Если мы не находим решения, значит, нет и проблемы. ",,,,,,circle,le penseur à terre,,,4.3000000,2
637,4.3.1,"4,31",3,Erreur de raisonnement,erreurDeRaisonnement,Mauvaise déduction,Conclusion hâtive,,2,6,,,Conclusion hâtive,17,Votre déduction repose sur des éléments insuffisants.,53,Ce bol est rempli de croquettes ; il y a donc un chat dans la maison.,69,,Faulty logics,Wrong entailment,Hasty conclusion,Hasty conclusion,16,,Drawing logical consequences from facts which are insufficient to support such an entailment.,93,"There is catfood in that bowl, therefore there is a cat in the house.",,https://en.wikipedia.org/wiki/Jumping_to_conclusions,69,"autre lien en: https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/114/Jumping-to-Conclusions

beaucoup de ref à généralisation hâtive. lien t?",,,,,Ошибка рассуждения,Ложная дедукция,Поспешные выводы,Поспешные выводы,Ваше умозаключение основано на недостающих элементах. ,"В этой миске кошачий корм, значиь, в доме есть кот. ",,1,,3.1.1.1.1.2,,circle,,,,4.3100000,3
645,4.3.1.2,"4,312",4,Erreur de raisonnement,erreurDeRaisonnement,Mauvaise déduction,Conclusion hâtive,,1,2,,,Fausse équivalence,18,Vous faites un parallèle absurde entre deux arguments distincts.,64,"Tu me demandes de faire mes devoirs après l'école; mais je ne te demande pas, moi, de faire des heures supplémentaires une fois rentré du bureau.",145,,Faulty logics,Wrong entailment,Hasty conclusion,False equivalence,17,,Making two arguments or pieces of evidence appear to be logically equivalent when in fact they are not.,103,You demand that I do my homework at home after school. Do I request you do overtime work at home?,,https://en.wikipedia.org/wiki/False_equivalence,97,,,,,,Ошибка рассуждения,Ложная дедукция,Поспешные выводы,Ложный эквивалент,Вы проводите абсурдную параллель между не имеющими ничего общего аргументами. ,"Ты просишь, чтобы я делал уроки после школы, но я же не прошу, чтобы ты делал сверхурочную работу, когда возвращаешься домой. ",,,1,Faux équilibre,,circle,roi de théâtre et son miroir,,,4.3120000,4+
648,4.3.2,"4,32",3,Erreur de raisonnement,erreurDeRaisonnement,Mauvaise déduction,Inconsistance,,1,1,,,Inconsistance,13,Votre raisonnement s'appuie sur des hypothèses contradictoires.,63,"Ce n'est pas moi qui ai abîmé ce cahier ; non seulement j'en ai pris le plus grand soin, mais en plus je n'y ai jamais touché.",126,,Faulty logics,Wrong entailment,Inconsistency,Inconsistency,13,,Using mutually exclusive assertions or premises.,48,I did not break it. I used it extremely carefully. I didn't even touch it!,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/112/Inconsistency,74,,,,,,Ошибка рассуждения,Ложная дедукция,Несостоятельность,Несостоятельность,Ваше суждение опирается на противоречивые гипотезы. ,"Я не портила тетрадь. Мало того, что я бережно с ней обращалась, так я даже к ней никогда не прикасалась. ",,1,,,,circle,,,,4.3200000,3
652,4.3.2.2.1,"4,3221",5,Erreur de raisonnement,erreurDeRaisonnement,Mauvaise déduction,Inconsistance,,2,,,,Logique du chaudron,19,"Votre argument utilise des raisons qui, bien que valables une-à-une, se contredisent. ",86,Premièrement je n'ai absolument pas emprunté de chaudron à B ; deuxièmement le chaudron avait déjà un trou lorsque je l'ai reçu de B ; troisièmement je lui ai rendu le chaudron intact.”,185,https://fr.wikipedia.org/wiki/Logique_du_chaudron,Faulty logics,Wrong entailment,Inconsistency,Kettle logic,12,,Cumulating several valid arguments that unfortunately contradict each other.,76,I never borrowed that kettle. It already had a hole in it when you lent it to me.,,"https://en.wikipedia.org/wiki/Kettle_logic
",,,,,,,Ошибка рассуждения,Ложная дедукция,Несостоятельность,Логика вазы,"Ваша аргументация использует доводы, валидные сами по себе, но не совместимые друг с другом. ","Во-первых, я не брала вазы, во-вторых, в вазе уже была дырка, когда я ее взяла, а, в-третьих, я вернула ее в целости и сохранности. ",,,,,,circle,,,,4.3221000,4+
655,4.3.3,"4,33",3,Erreur de raisonnement,erreurDeRaisonnement,Mauvaise déduction,Syllogisme invalide,,1,3,,,Syllogisme invalide,19,"Vous construisez un discours en trois étapes - si, or, donc - sans prêter attention à la validité du raisonnement.",114,Les poissons vivent dans la mer ; or les baleines vivent dans la mer ; les baleines sont donc des poissons.,107,https://fr.wikipedia.org/wiki/Syllogisme,Faulty logics,Wrong entailment,Syllogistic Fallacy,Syllogistic Fallacy,19,,"Using a syllogism, or 3-step (major premise - minor premise - conclusion) argument in a faulty way.",99,"Fish live in the sea. Whales live in the see. Therefore, whales are fish.",,http://www.fallacyfiles.org/syllfall.html,73,liens t politicien,,,,,Ошибка рассуждения,Ложная дедукция,Ошибка силлогизма,Ошибка силлогизма,"Вы строите рассуждение из трех этапов: если, но, следовательно, не обращая внимания на валидность суждения. ","Рыбы живут в море, но киты тоже живут в море, значит, киты - это рыбы. ",,1,,1.1.3.2.1 4.3.3.5.1 5.3.2.4.1,,circle,,,,4.3300000,3
662,4.3.3.1.1.1,"4,33111",6,Erreur de raisonnement,erreurDeRaisonnement,Mauvaise déduction,Syllogisme invalide,,2,,,,Syllogisme du politicien,24,Votre argument établit qu'une chose est souhaitable car elle est conforme.  ,76,"Il nous faut faire quelque chose. Ce que je propose, c'est quelque chose. Donc c'est ce que nous devons faire. ",111,,Faulty logics,Wrong entailment,Syllogistic Fallacy,Politician's syllogism,22,,Your argument establishes that a thing is desirable because it conforms.,72,We must to something. This is something. Therefore we must do this.,,https://en.wikipedia.org/wiki/Politician%27s_syllogism,,,,,,,Ошибка рассуждения,Ложная дедукция,Ошибка силлогизма,Силлогизм политика,"Ваш аргумент устанавливает, что вещь желательна, потому что она соответствует требованиям.",Мы должны к чему-то. Это что-то. Поэтому мы должны это сделать.,,,,1.1.3.2.1 4.3.3.5.1 5.3.2.4.1,,circle,,,,4.3311100,4+
658,4.3.3.3.1,"4,3331",5,Erreur de raisonnement,erreurDeRaisonnement,Mauvaise déduction,Syllogisme invalide,,2,7,,,Quaternio terminorum,20,Votre argumentation repose sur un syllogisme comptant quatre propositions au lieu de trois.,91,Socrate est un homme ; les hommes sont mortels ; les chats sont mortels ; donc Socrate est un chat.,99,https://fr.wikipedia.org/wiki/Quaternio_terminorum,Faulty logics,Wrong entailment,Syllogistic Fallacy,Fallacy of four terms,21,,Using a syllogism that involves at least four terms instead of three.,69,"Nothing is better than happiness. A ham sandwich is better than nothing. So, a ham sandwich is better than happiness.",,https://en.wikipedia.org/wiki/Fallacy_of_four_terms,117,,,,,,Ошибка рассуждения,Ложная дедукция,Ошибка силлогизма,Учетверение терминов,"Ваша аргументация основана на силлогизме, состоящем из четырех терминов вместо трех.","Сократ - человек, люди смертны, кошки смертны, значит, Сократ - кот. ",https://ru.wikipedia.org/wiki/Учетверение_терминов,,,,,circle,,,,4.3331000,4+
668,5,5,1,Abus de langage,abusDeLangage,,,,1,2,,,Abus de langage,15,Vous usez de subtilités linguistiques pour convaincre.,54,,0,,Misleading language,,,Misleading language,19,,Using language in a way that misleads or misrepresents the truth.,65,,,,0,,,,,,Злоупотребление языком,,,Злоупотребление языком,"Вы прибегаете к лингвистическим уловкам, чтобы убедить собеседника. ",,,,,,,square,femme avec diadème en serpent.,#0039f0,,5.0000000,1
669,5.1,"5,1",2,Abus de langage,abusDeLangage,Définition imprécise,,,1,8,,,Définition imprécise,20,Vous faites varier la définition des termes que vous employez au gré de votre argumentation.,92,"J'arrête de fumer cinq fois par jour, après chaque cigarette.",61,,Misleading language,Inexact definition,,Inexact definition,18,,Defining the terms used in the discussion so as to support one's agenda or claim.,81,This is not lying. I only failed to mention that thing..,,https://en.wikipedia.org/wiki/Fallacies_of_definition,56,,,,,,Злоупотребление языком,Неточное определение,,Неточное определение,"Вы на ходу меняете определения терминов, подгоняя их под вашу аргументацию. ","Я бросаю курить по пять раз в день, после каждой сигареты. ",,1,,,,circle,flic avec dictionnaire,,,5.1000000,2
670,5.1.1,"5,11",3,Abus de langage,abusDeLangage,Définition imprécise,Acception vague,,2,7,,,Acception vague,15,"Vous définissez de manière imprécise les termes que vous employez, de manière à pouvoir les adapter à la défense de vos intérêts.",129,Ma liberté d'expression m'autorise à menacer cet homme.,55,http://www.ditext.com/fearnside/10.html,Misleading language,Inexact definition,Vague definition.,Vague definition.,17,,Using definitions that are vague enough to open argumentative leeway.,69,"I can threaten him, this is Feedom of Expression.",,http://www.ditext.com/fearnside/10.html,49,"le concept de ""liberté"" se prête bien aux fallacies de définition",,Ma liberté d'expression m'autorise à publier des thèses révisionnistes.,Freedom of expression means that I can encourage people to kill the ones I don't like.,,Злоупотребление языком,Неточное определение,Размытое определение,Размытое определение,"Вы неточным образом определяете используемые термины, чтобы они служили вашим интересам. ",Моя свобода самовыражения позволяет мне угрожать этому мужчине. ,,,,lien vrai écossais,,circle,,,,5.1100000,3
672,5.1.1.2,"5,112",4,Abus de langage,abusDeLangage,Définition imprécise,Acception vague,,1,5,PAri de Loki,,Indéfinissabilité,17,Vous vous appuyez sur l'impossibilité de définir certains termes de votre argumentation.,88,"Ce foulard n'est pas violet, il est mauve.",42,,Misleading language,Inexact definition,Vague definition.,Undefinability (Loki's wager).,30,,Winning your point thanks to the impossibility to define some terms of the argument.,84,You claim this is a purple car. But it looks red to me.,,https://en.wikipedia.org/wiki/Loki%27s_Wager,55,Lien t vers continuum,,,,Pari de Loki,Злоупотребление языком,Неточное определение,Размытое определение,Неопределяемость,Вы опираетесь на невозможность определить некоторые термины из вашей аргументации. ,"Этот платок не фиолетовый, он мальвовый. ",,1,,,,circle,"XXXbein, Loki!",,,5.1120000,4+
673,5.1.2,"5,12",3,Abus de langage,abusDeLangage,Définition imprécise,Acception arbitraire,,2,7,,,Acception arbitraire,20,Votre argumentation repose sur une définition de votre invention.,65,"L'amour, c'est savoir pardonner. Du coup, comment oses-tu me reprocher mon infidélité ?",87,https://fr.wikipedia.org/wiki/Arbitraire,Misleading language,Inexact definition,Arbitrary definition,Arbitrary definition,20,,Argumenting on the basis of arbitrarily-defined terms. ,55,"Love is the ability to forgive anything. How can you be so bitter about me cheating on you?
",,https://en.wikipedia.org/wiki/Arbitrariness#Philosophy,92,,,"La vraie liberté, c'est la liberté d'entreprise ; toute nationalisation est donc par essence antidémocratique.",Freedom is free enterprise. So nationalizations are anti-democratic. ,,Злоупотребление языком,Неточное определение,Произвольное определение,Произвольное определение,"Ваша аргументация основана на определении, которое вы придумали сами. ","Любовь - это умение прощать. Поэтому, как ты можешь упрекать меня в неверности?",,,,,,circle,,,,5.1200000,3
677,5.1.2.2,"5,122",4,Abus de langage,abusDeLangage,Définition imprécise,Acception arbitraire,,2,4,Proposition exclusive,,Sophisme de corrélation,23,Votre argumentation manipule des termes mutuellement exclusifs de façon trompeuse.,82,"Je t'adore, donc je ne t'aime pas",33,,Misleading language,Inexact definition,Arbitrary definition,Correlative-based fallacies,27,,Using mutually exclusive statements in a deceiving or faulty manner.,68,"I love you, thus I don't like you",,https://en.wikipedia.org/wiki/Correlative-based_fallacies,33,,,"La France, on l'aime ou on la quitte.",,,Злоупотребление языком,Неточное определение,Произвольное определение,Софизм соотношения,"Ваша аргументация манипулирует взаимоисключающими терминами, чтобы ввести в заблуждение.","Я обожаю тебя, а, значит, не люблю. ",,,,,,circle,,,,5.1220000,4+
678,5.1.2.2.1,"5,1221",5,Abus de langage,abusDeLangage,Définition imprécise,Acception arbitraire,,1,3,,,Contraste perdu,15,Vous définissez des termes distincts de manière à ce qu'on ne les distingue plus les uns des autres.,100,Les atomes font partie de la nature ; cette poudre chimique est composée d'atomes donc c'est un produit naturel.,112,,Misleading language,Inexact definition,Arbitrary definition,Lost contrast,13,,Defining the terms of the debate in a manner that blurs their differences.,74,"Since atoms, molecules and humans are part of nature, that chemical powder is a natural product.",,https://en.wikipedia.org/wiki/Suppressed_correlative,96,,,,,,Злоупотребление языком,Неточное определение,Произвольное определение,Потеря контраста,"Вы определяете различные термины таким образом, что их становится невозможно разграничить. ","Атомы являютс частью природы, этот химический порошок состоит из атомов, так что это природный продукт.",,1,1,,,circle,yin et yang qui fondent,,,5.1221000,4+
680,5.1.2.2.3,"5,1223",5,Abus de langage,abusDeLangage,Définition imprécise,Acception arbitraire,,2,2,,,Sophisme du vrai écossais,25,"Afin de réfuter un contre-exemple, vous modifiez les contours de l'idée générale que vous soutenez.",99,"- Tous les Écossais sont roux.
- Angus est écossais mais il n'est pas roux. 
- Ce n'est donc pas un vrai Écossais.",114,https://fr.wikipedia.org/wiki/Sophisme_du_vrai_A13%89cossais,Misleading language,Inexact definition,Arbitrary definition,No true Scotsman,16,,Saving a generalization from a counterexample by changing its definition in order to exclude the latter.,104,"- No Scotsman adds sugar to porridge.
- Angus,a Scotsman, adds sugar to porridge.
- Angus is not a true Scotsman.",,https://en.wikipedia.org/wiki/No_true_Scotsman,113,,,,,,Злоупотребление языком,Неточное определение,Произвольное определение,Софизм настоящего шотландца,"Для того, чтобы отмести противоположный пример, вы изменяете контуры основной идеи, которую поддерживаете. ","Все шотландцы рыжие. Ангус шотландец, но он не рыжий. Значит, он не настоящий шотландец.",,1,,,,circle,,,,5.1223000,4+
681,5.1.2.2.4,"5,1224",5,Abus de langage,abusDeLangage,Définition imprécise,Acception arbitraire,,1,1,Pensée binaire,,Faux dilemme,12,Vous raisonnez sur la base d'une alternative binaire alors qu'il existe d'autres possibilités.,94,"Si les nouvelles technologies ne t'intéressent pas, rien ne t'empêche de retourner vivre dans une grotte.",105,https://fr.wikipedia.org/wiki/Faux_dilemme,Misleading language,Inexact definition,Arbitrary definition,False dilemma,13,,"Presenting two options as the only, mutually exclusive, possibilities, when there are other possibilities.",106,"If you're not interested in tech, you may well go live in a cave.",,https://en.wikipedia.org/wiki/False_dilemma,65,,,Le discours de cet homme est un véritable réquisitoire contre les banques ; il est donc communiste.,"If you criticize capitalism, then you are a communist.",,Злоупотребление языком,Неточное определение,Произвольное определение,Ложная дилемма,"Вы рассуждаете на основании бинарной альтернативы, хотя существуют и другие возможности.","Если новые технологии тебя не интересуют, можешь возвращаться жить в пещеру.",,1,1,3.3.1.2.2,,circle,,,,5.1224000,4+
687,5.1.3,"5,13",3,Abus de langage,abusDeLangage,Définition imprécise,Définition inconsistante,,1,6,,,Définition inconsistante,24,Vous définissez certains termes de votre raisonnement de manière contradictoire ou absurde.,91,Une bonne éducation se doit d'éveiller l'esprit critique ; or un individu doué d'esprit critique ne se laisse jamais influencer par qui que ce soit.,148,,Misleading language,Inexact definition,Inconsistent definition,Inconsistent definition,23,,"Defining terms in inconsistent, logically faulty ways.",54,Good education is the basis of development of a critical mind. A critical mind can't be influenced by anyone.,,,109,,,,,,Злоупотребление языком,Неточное определение,Несостоятельное определение,Несостоятельное определение,Вы определяете некоторые термины из вашего суждения противоположным или абсурдным образом. ,"Хорошее образование должно пробуждать критический ум, но человек, наделенный критическим умом, не поддается ничьему влиянию. ",,,,,,circle,,,,5.1300000,3
