PK,path,decimal_path,depth,Famille,Famille_camelCase,Sous-Famille,Soussousfamille,état,carte,niveau,nom_vulgarisé,Latin,text_fr,LTfr,desc_fr,Lfr115,example_fr,Lxfr145,link_fr,Family,Subfamily,Subsubfamily,text_en,LTen,Simple_name_en,desc_en,Len115,example_en,example_en_bis,Lxen145,link_en,Remarques,latin1,exemple politique,political_example_en,proverbe,Family_ru,Subfamily_ru,Subsubfamily_ru,text_ru,desc_ru,example_ru,link_ru,Family_pt,Subfamily_pt,Subsubfamily_pt,text_pt,desc_pt,example_pt,link_pt,Family_ar,Subfamily_ar,Subsubfamily_ar,text_ar,desc_ar,example_ar,link_ar,Family_es,Subfamily_es,Subsubfamily_es,text_es,desc_es,example_es,link_es,Family_zh,Subfamily_zh,Subsubfamily_zh,text_zh,desc_zh,example_zh,link_zh,Family_fa,Subfamily_fa,Subsubfamily_fa,text_fa,desc_fa,example_fa,link_fa,edition_fevrier_2022,print_&_play_fevrier_2022,+liens transverses,crossLink_PredatesOn,crossLink_Denounces,crossLink_Leverages,crossLink_Allows,crossLink_Opposes,crossLink_Inverts,crossLink_Mirrors,crossLink_IsRelatedTo,type lien transverse,AIF_skosDirectRef,AIF_skosExceptionRef,AIF_skosOther,AIF_skosMappingType,shape,image,svg_color,svg_illustration,print_and_play,decimal_path_padded,depth_max4
1355,7.2.3.3,"7,233",4,Obstruction,obstruction,Saboter le débat,Empoisonner le puits,2,2,,,,Projection psychologique,24,Vous attribuez à votre adversaire vos propres défauts pour détourner l'attention de vos erreurs.,96,"Il n’est pas surprenant que vous m’accusiez de fuir le sujet : après tout, c’est exactement ce que ferait quelqu’un qui manque d’arguments, comme vous.",158,,Obstruction,Sabotage,Poisoning the well,Psychological projection,24,,Attributing one's own flaws to an opponent to divert attention from one's errors.,64,"It’s not surprising that you accuse me of avoiding the subject: after all, that is exactly what someone who lacks arguments would do, like you.",,38,https://en.wikipedia.org/wiki/Psychological_projection,,,,,,Обструкция,Саботаж дебатов,Отравленный колодец,Психологическая проекция,"Ваша аргументация направлена ​​на то, чтобы приписать собственные недостатки оппоненту.","Я не доверяю ему, потому что он ненавидит меня.",https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D0%B5%D0%BA%D1%86%D0%B8%D1%8F_(%D0%BF%D1%81%D0%B8%D1%85%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F),Obstrução,Sabotar o debate,Envenenando o poço,Projeção psicológica,Seu argumento visa atribuir seus próprios defeitos ao seu oponente.,Não confio nele porque ele me odeia.,,العرقلة,تخريب النقاش,تسميم البئر,الإسقاط النفسي,تسعى حجتك إلى نسب عيوبك إلى خصمك.,لا أثق به لأنه يكرهني.,,Obstrucción,Sabotear el debate,Envenenar el pozo,Proyección psicológica,Atribuyes a tu adversario tus propios defectos para desviar la atención de tus errores.,"No es sorprendente que pienses que estoy evadiendo el tema; después de todo, es exactamente lo que haría alguien con la falta de argumentos como los tuyos.",,阻碍,破坏辩论,毒害水井,心理投射,将自己的缺点归咎于对方以转移对自己错误的注意。,这并不奇怪，你认为我在逃避话题；毕竟，这正是像你这样缺乏论据的人会做的事。,,مانع‌تراشی,خرابکاری در مناظره,زهر ریختن در چاه,فرافکنی روانی,استدلال شما به‌طور ضمنی نقص‌های خود را به مخالفان شما نسبت می‌دهد.,من به او اعتماد ندارم زیرا او از من متنفر است.,,,,,,,,,,,,,,,,,,circle,,,,,7.2330000,4+
1356,7.2.3.3.1,"7,2331",5,Obstruction,obstruction,Saboter le débat,Empoisonner le puits,,,,,,DARVO,5,"Vous niez l’abus commis, puis vous accusez la victime d’en être responsable ou d’être elle-même l’agresseuse.",79,"Je n’ai jamais fait une telle chose. C’est plutôt vous qui créez une atmosphère toxique ici. En m’accusant faussement, c’est vous qui me harcelez.",145,,Obstruction,Sabotage,Poisoning the well,Darvo,5,,"Denying the abuse committed, then accusing the victim of being responsible for it or of being the aggressor themselves.",61,"I've never done such a thing. It's actually you who's creating a toxic atmosphere here. By falsely accusing me, you're the one harassing me.",,140,http://rationalwiki.org/wiki/DARVO,,,,,,Обструкция,Саботаж дебатов,Отравленный колодец,DARVO,Вы совершаете преступление и обвиняете в этом преступлении свою жертву.,"Я никогда не делал ничего подобного. Именно вы создаете здесь токсичную атмосферу. Обвиняя меня ложно, именно вы преследуете меня.",,Obstrução,Sabotar o debate,Envenenando o poço,DARVO,Você comete um crime e acusa sua vítima de ter cometido esse crime.,"Eu nunca fiz tal coisa. É você quem está criando uma atmosfera tóxica aqui. Ao me acusar falsamente, você é quem está me assediando.",,العرقلة,تخريب النقاش,تسميم البئر,دارفو,ترتكب جريمة ثم تتهم ضحيتك بتلك الجريمة.,لم أفعل مثل هذا الشيء أبداً. في الواقع، أنت من يخلق جوًا سامًا هنا. باتهامي زوراً، أنت من يضايقني.,,Obstrucción,Sabotear el debate,Envenenar el pozo,DARVO,Cometes un crimen y acusas a tu víctima de haber cometido ese crimen.,"Nunca he hecho tal cosa. En realidad, eres tú quien está creando un ambiente tóxico aquí. Al acusarme falsamente, eres tú quien me está acosando.",,阻碍,破坏辩论,毒害水井,DARVO,你犯了罪，然后指责你的受害者犯了该罪。,我从来没有做过这样的事。事实上，正是你在这里制造了有毒的氛围。通过对我进行虚假指控，你才是那个骚扰我的人。,,مانع‌تراشی,خرابکاری در مناظره,زهر ریختن در چاه,داروو,شما مرتکب جرمی می‌شوید و سپس قربانی خود را به آن جرم متهم می‌کنید.,من هرگز چنین کاری نکرده‌ام. در واقع این تو هستی که اینجا جو سمی ایجاد می‌کنی. با متهم کردن دروغ، تو هستی که من را آزار می‌دهی.,,,,,,,,,,,,,,,,,,circle,,,,,7.2331000,4+
1357,7.2.3.4,"7,234",4,Obstruction,obstruction,Saboter le débat,Empoisonner le puits,2,2,,,,Arguments factices,14,"Vous inventez des arguments qui semblent suivre la logique de votre opposant, mais qui sont en réalité fallacieux.",121,"Certains disent que ma politique augmenterait les taxes, mais qu'en est-il de l'augmentation des dépenses de santé qu'elle prévoit d'éviter ?",141,https://fr.wikisource.org/wiki/L%E2%80%99Art_d%E2%80%99avoir_toujours_raison/Stratag%C3%A8me_V,Obstruction,Sabotage,Poisoning the well,False propositions,18,,Inventing arguments that seem to fit an opponent's logic but are actually fallacious.,79,"Some say my policy would increase taxes, but what about the healthcare spending it aims to prevent?",,99,https://en.wikisource.org/wiki/The_Art_of_Being_Right#False_Propositions,,,,,,Обструкция,Саботаж дебатов,Отравленный колодец,Ложные утверждения,"Вы представляете ложные аргументы, которые идеально вписываются в логический процесс вашего оппонента.","Некоторые говорят, что моя политика повысит налоги, но что насчет затрат на здравоохранение, которые она стремится предотвратить?",,Obstrução,Sabotar o debate,Envenenando o poço,Argumentos falsos,Vocês apresentam argumentos falsos que se encaixam perfeitamente no processo de pensamento do seu oponente.,"Alguns dizem que a minha política aumentaria os impostos, mas e sobre os gastos com saúde que ela visa prevenir?",,العرقلة,تخريب النقاش,تسميم البئر,مزاعم كاذبة,تقدم حججًا كاذبة تبدو وكأنها تتماشى مع تفكير خصمك.,يقول البعض إن سياستي ستزيد الضرائب، ولكن ماذا عن نفقات الرعاية الصحية التي تهدف إلى منعها؟,,Obstrucción,Sabotear el debate,Envenenar el pozo,Falsos argumentos,Invéntas argumentos que parecen ajustarse a la lógica de tu oponente pero que en realidad son falaces.,"Algunos dicen que mi política aumentaría los impuestos, pero ¿qué pasa con el aumento del gasto en salud que pretende evitar?",,阻碍,破坏辩论,毒害水井,虚假命题,提出一些虚假的论点，这些论点看似符合对方的思维方式。,有人说我的政策会增加税收，但它旨在避免的医疗支出增加又该怎么说呢？,,مانع‌تراشی,خرابکاری در مناظره,زهر ریختن در چاه,مقدمات نادرست,شما استدلال‌های نادرستی را مطرح می‌کنید که به‌نظر می‌رسد با فرآیند فکری حریف شما هماهنگی دارند.,برخی می‌گویند سیاست من مالیات‌ها را افزایش می‌دهد، اما در مورد صرفه‌جویی در هزینه‌های مراقبت‌های بهداشتی که هدف آن است چه می‌گویید؟,,,,,,,,,,,,,,,,,,circle,,,,,7.2340000,4+
1358,7.2.3.4.1,"7,2341",5,Obstruction,obstruction,Saboter le débat,Empoisonner le puits,,,,,,Utiliser des arguments absurdes,31,"Vous proposez à votre adversaire une idée absurde, ce qui le place dans une position inconfortable quelle que soit sa réponse.",121,"Donc, si vous n’êtes pas d’accord avec la peine de mort, vous seriez prêt à libérer tous les meurtriers ?",104,https://fr.wikisource.org/wiki/L%E2%80%99Art_d%E2%80%99avoir_toujours_raison/Stratag%C3%A8me_XV,Obstruction,Sabotage,Poisoning the well,Absurd propositions,19,,"Offering an opponent an absurd idea, putting them in an uncomfortable position regardless of their response.",111,"So, if you disagree with the death penalty, would you be willing to release all murderers?",,90,https://en.wikisource.org/wiki/The_Art_of_Being_Right#Use_Seemingly_Absurd_Propositions,,,,,,Обструкция,Саботаж дебатов,Отравленный колодец,Абсурдные предложения,"Вы предлагаете вашему оппоненту абсурдную идею, ставя его в неудобное положение независимо от его ответа.","Итак, если вы не согласны с смертной казнью, вы были бы готовы выпустить всех убийц?",,Obstrução,Sabotar o debate,Envenenando o poço,Proposições absurdas,"Vocês oferecem ao seu oponente uma ideia absurda, colocando-os numa posição desconfortável independentemente da resposta deles.","Então, se você discorda da pena de morte, estaria disposto a libertar todos os assassinos?",,العرقلة,تخريب النقاش,تسميم البئر,استخدام حجج سخيفة,تقترح على خصمك فكرة سخيفة، مما يضعه في موقف غير مريح بغض النظر عن جوابه.,إذا كنت لا توافق على عقوبة الإعدام، فهل ستكون مستعدًا لإطلاق سراح جميع القتلة؟,,Obstrucción,Sabotear el debate,Envenenar el pozo,Propuestas absurdas,"Ofreces a tu oponente una idea absurda, poniéndolo en una posición incómoda sin importar su respuesta.","Entonces, si no estás de acuerdo con la pena de muerte, ¿estarías dispuesto a liberar a todos los asesinos?",,阻碍,破坏辩论,毒害水井,荒谬的提议,你向对手提出一个荒谬的想法，无论对手如何回应，都会让他们处于不舒服的位置。,所以，如果你不同意死刑，那么你愿意释放所有的杀人犯吗？,,مانع‌تراشی,خرابکاری در مناظره,زهر ریختن در چاه,پیشنهادات نامعقول,شما به رقیب خود ایده‌ای نامعقول ارائه می‌دهید و او را در موقعیتی نامناسب قرار می‌دهید، صرف‌نظر از پاسخش.,پس، اگر شما با مجازات اعدام مخالفید، آیا حاضرید تمام قاتلان را آزاد کنید؟,,,,,,,,,,,,,,,,,,circle,,,,,7.2341000,4+
1359,7.2.3.4.2,"7,2342",5,Obstruction,obstruction,Saboter le débat,Empoisonner le puits,,,,,,Répondre par de mauvais arguments,33,"Vous répliquez à un argument faible par une contre-argumentation tout aussi discutable, privilégiant la victoire sur la vérité.",127,"Vous disqualifiez ma proposition à cause de mon soi-disant manque d’expérience, mais voulez-vous que l’on parle de votre âge avancé ?",115,https://fr.wikisource.org/wiki/L%E2%80%99Art_d%E2%80%99avoir_toujours_raison/Stratag%C3%A8me_XXI,Obstruction,Sabotage,Poisoning the well,Using a bad counter-argument,28,,"Replying to a weak argument with an equally disputable counter-argument, prioritizing victory over truth.",106,"You disqualify my proposal for my so-called lack of experience, but shall we talk about your advanced age?",,106,https://en.wikisource.org/wiki/The_Art_of_Being_Right#Meet_him_With_a_Counter-Argument_as_Bad_as_His,,,,,"A question idiote, réponse idiote.",Обструкция,Саботаж дебатов,Отравленный колодец,Использование плохого контраргумента,"Вы отвечаете на слабый аргумент равно спорным контраргументом, отдавая предпочтение победе над истиной.","Вы дисквалифицируете мое предложение из-за моего так называемого отсутствия опыта, но не хотите ли мы поговорить о вашем преклонном возрасте?",,Obstrução,Sabotar o debate,Envenenando o poço,Uso de um contra-argumento ruim,"Vocês respondem a um argumento fraco com um contra-argumento igualmente questionável, priorizando a vitória sobre a verdade.","Vocês desqualificam a minha proposta por minha suposta falta de experiência, mas devemos falar sobre a sua idade avançada?",,العرقلة,تخريب النقاش,تسميم البئر,الرد بحجج سيئة,ترد على حجة ضعيفة بحجة مضادة بنفس القدر من النقاش، مفضلًا الانتصار على الحقيقة.,أنت ترفض اقتراحي بسبب ادعائك أنني أفتقر إلى الخبرة، ولكن هل نناقش عمرك المتقدم؟,,Obstrucción,Sabotear el debate,Envenenar el pozo,Usar un contraargumento malo,"Respondes a un argumento débil con un contraargumento igualmente discutible, priorizando la victoria sobre la verdad.","Descalificas mi propuesta por mi supuesta falta de experiencia, pero ¿hablamos de tu avanzada edad?",,阻碍,破坏辩论,毒害水井,使用不佳的反驳,你用一个同样站不住脚的反驳来应对一个弱的论点，优先考虑胜利而非真相。,你以我所谓的缺乏经验来否定我的提议，但我们要不要谈谈你的高龄呢？,,مانع‌تراشی,خرابکاری در مناظره,زهر ریختن در چاه,استفاده از استدلال ضعیف,شما در پاسخ به استدلال ضعیف یک استدلال متقابل به همان اندازه قابل مناقشه مطرح می‌کنید و پیروزی را به حقیقت ترجیح می‌دهید.,شما پیشنهاد من را به خاطر کمبود تجربه دست کم می‌گیرید، اما آیا باید در مورد سن پیشرفته شما صحبت کنیم؟,,,,,,,,,,,,,,,,,,circle,,,,,7.2342000,4+
1360,7.3,"7,3",2,Obstruction,obstruction,Ad hominem,,1,1,1,,Ad hominem,Ad hominem,10,Vous visez votre adversaire lui-même plutôt que de contester ses arguments.,75,Comment pouvez-vous prétendre que votre politique de santé fonctionnera quand vous n’avez même pas réussi à arrêter de fumer ?,126,https://fr.wikipedia.org/wiki/Argumentum_ad_hominem,Obstruction,Ad hominem,,Ad hominem,10,,Targeting the opponent themself rather than challenging their arguments.,55,How can you claim that your health policy will work when you have not even managed to quit smoking?,,93,https://en.wikipedia.org/wiki/Ad_hominem,"La différence ad hominem et ad personam est le sujet d'un débat velu, je vous propose ma propre synthèse, basée sur les différentes sources à ma disposition, sans prendre forcément en compte les articles wikipedia, et en délaissant complètement les définitions zététiques et autres du même type, qui ne font pas toujours bien la distinction. L'ad hominem peut etre utile pour confronter l'adversaire à ses propres incohérences afin de faire avancer le débat, et n'oblige pas forcément à négliger les arguments dits, la double-faute ou l'appel à l'hypocrisie pourrait en descendre sous certaines conditions. Alors que l'ad personam est toujours déplacé, le piège kafkaïen (que j'adore) en descendrait, ainsi que l'empoisonnement du puit. - J",,,"He is a clown, he won't be able to govern our country nor to make it strong and stable.",,Обструкция,К человеку,,Ad hominem,"Вы нацеливаетесь на самого вашего противника, вместо того чтобы оспаривать его аргументы.","Как вы можете утверждать, что ваша политика в области здравоохранения сработает, если вы даже не смогли бросить курить?",,Obstrução,Ad hominem,,Ad hominem,"Os senhores visam o próprio adversário, em vez de contestar os argumentos dele.","Como pode afirmar que a sua política de saúde funcionará, quando nem sequer conseguiu deixar de fumar?",,العرقلة,الحجة الشخصية,,الحجة الشخصية,تستهدفون خصمكم نفسه بدلًا من دحض حججه.,كيف يمكنكم الادعاء بأن سياستكم الصحية ستنجح، وأنتم لم تتمكنوا حتى من الإقلاع عن التدخين؟,,Obstrucción,Ad hominem,,Ad hominem,Ustedes apuntan contra su adversario mismo en lugar de refutar sus argumentos.,¿Cómo pueden pretender que su política de salud funcionará cuando ni siquiera han conseguido dejar de fumar?,,阻碍,人身攻击,,人身攻击,您针对的是对手本人，而不是反驳其论点。,你怎么能声称你的卫生政策会奏效，而你自己甚至都没能戒烟？,,مانع‌تراشی,حمله به شخص,,حمله شخصی,شما خودِ رقیبتان را هدف می‌گیرید، به‌جای آنکه استدلال‌های او را به چالش بکشید.,چگونه می‌توانید ادعا کنید که سیاست سلامت شما مؤثر خواهد بود، وقتی حتی نتوانسته‌اید سیگار را ترک کنید؟,,,,,,,,,,,,,,,Ethotic_Inference,,skos:broadMatch,circle,éléphant de guerre,,,,7.3000000,2
1361,7.3.1,"7,31",3,Obstruction,obstruction,Ad hominem,Procès en inconsistance,1,2,3,,,Procès en incohérence,23,"Vous relevez les incohérences ou les contradictions de votre interlocuteur, ou vous lui opposez des arguments erronés qui peuvent néanmoins lui sembler valides.",166,"A t'entendre, tout achat est immoral. Pourtant je t'ai vu faire les soldes l'autre jour, et ma morale le tolère.",112,,Obstruction,Ad hominem,Argument from inconsistency,Accusation of inconsistency,27,,"Pointing out inconsistencies or contradictions in an interlocutor, or opposing them with erroneous arguments that may nevertheless seem valid to them.",194,"To hear you tell it, every purchase is immoral. Yet I saw you shopping the sales the other day, and my morality allows it.",,110,http://www.dougwalton.ca/papers%20in%20pdf/04historical.pdf,"Bis repetita de l'Appel au Parti-pris (""circumstantiae"") (992) - J",,"Vous voulez aujourd'hui construire de nouvelles centrales nucléaires, alors qu'hier vous plaidiez en faveur des usines à charbon !",,,Обструкция,К человеку,Обвинение в непоследовательности,Обвинение в непоследовательности,"Вы указываете на несоответствия или противоречия вашего собеседника либо противопоставляете ему ошибочные аргументы, которые, тем не менее, могут казаться ему убедительными.","Если тебя послушать, всякая покупка аморальна. Однако на днях я видел, как ты ходил на распродажи, и моя мораль это допускает.",,Obstrução,Ad hominem,Argumento da inconsistência,Acusação de incoerência,"Os senhores apontam as incoerências ou contradições do seu interlocutor, ou lhe contrapõem argumentos erróneos que, ainda assim, podem parecer-lhe válidos.","A ouvir-te, toda compra é imoral. No entanto, vi-te a aproveitar os saldos outro dia, e a minha moral tolera isso.",,العرقلة,الحجة الشخصية,حجة من التناقض,اتهام بعدم الاتساق,تشيرون إلى أوجه عدم الاتساق أو التناقض لدى محاوركم، أو تواجهونه بحجج خاطئة قد تبدو له مع ذلك صحيحة.,إذا استمعتُ إليك، فكل شراء غير أخلاقي. ومع ذلك فقد رأيتك تتسوق في التخفيضات قبل أيام، وأخلاقيتي تقبل ذلك.,,Obstrucción,Ad hominem,Argumento de inconsistencia,Acusación de incoherencia,"Ustedes señalan las incoherencias o contradicciones de su interlocutor, o le oponen argumentos erróneos que, no obstante, pueden parecerle válidos.","Oyéndote, toda compra es inmoral. Sin embargo, te vi ir de rebajas el otro día, y mi moral lo tolera.",,阻碍,人身攻击,不一致的指责,不一致指控,您指出对话者的不一致或矛盾之处，或者用错误的论据反驳他，而这些论据对他而言仍可能显得有效。,照你这么说，任何购买都是不道德的。可我前几天还看见你去抢购打折商品，而我的道德观是容许这一点的。,,مانع‌تراشی,حمله به شخص,استدلال از تناقض,اتهام به ناسازگاری,شما ناسازگاری‌ها یا تناقض‌های طرف گفت‌وگوی خود را برجسته می‌کنید، یا استدلال‌های نادرستی را در برابر او می‌گذارید که با این حال ممکن است برایش معتبر به نظر برسند.,از حرف‌هایت که برمی‌آید، هر خریدی غیراخلاقی است. با این حال، چند روز پیش دیدم که در حراج‌ها خرید می‌کردی، و اخلاق من این را تحمل می‌کند.,,,,,,,,,,,,,,,"InconsistentCommitment_Inference, CircumstantialAdHominem_Inference",,skos:broadMatch,circle,,,,,7.3100000,3
1362,7.3.1.1,"7,311",4,Obstruction,obstruction,Ad hominem,Procès en inconsistance,1,2,7,Traiter d'hypocrite,Tu Quoque,Tu quoque,9,Vous rejetez ce que dit quelqu’un en affirmant qu’il n’agit pas toujours conformément à ses propres principes.,118,"Comment peut-on prendre au sérieux ce que Jean-Jacques Rousseau écrit sur l’éducation des enfants, alors qu’il a abandonné les siens ?",126,https://fr.wikipedia.org/wiki/Argumentum_ad_hominem#Tu_quoque,Obstruction,Ad hominem,Argument from inconsistency,Tu quoque,9,Appeal to hypocrisy,Discrediting the opponent's position by asserting the opponent's failure to act consistently in accordance with that position,125,How can we take Jean-Jacques Rousseau's writings on child education seriously when he abandoned his own children?,,113,https://en.wikipedia.org/wiki/Tu_quoque?oldid=625341405,"Franchement, je n'ai jamais vu la nuance avec le whataboutism, même si la distinction est classiquement faite, on peut très bien les fusionner sans rien perdre. La définition pourrait alors être ""Consiste à jeter l'opprobre sur l'adversaire en raison de choses qu'elle a faites ou dites par le passé, en révélant une incohérence de ses actes avec les arguments qu'elle défend, sans les réfuter"", et pour ma part je l'avais nommé simplement ""Appel à l'hypocrisie"" (parce que j'avais essayé de garder les noms latins à part et de trouver un équivalent français à chaque fois) - J",,,,,Обструкция,К человеку,Обвинение в непоследовательности,Посмотри на себя,"Вы обвиняете собеседника в том, что его собственное поведение противоречит его же аргументам.","Как можно читать то, что Жан-Жак Руссо писал о воспитании детей, если сам бросил своих?",,Obstrução,Ad hominem,Argumento da inconsistência,Tu quoque,Descreditar a posição do oponente afirmando a falha do oponente em agir de forma consistente de acordo com essa posição,Como podemos levar a sério os escritos de Jean-Jacques Rousseau sobre a educação infantil quando ele abandonou os próprios filhos?,,العرقلة,الحجة الشخصية,حجة من التناقض,أنت أيضًا,ترفض ما يقوله الشخص بأن تقول إنه لا يتصرف دائمًا بما يتفق مع تصريحاته الخاصة.,كيف يمكننا أن نأخذ كتابات جان جاك روسو عن تعليم الأطفال بجدية بينما هو تخلى عن أطفاله؟,,Obstrucción,Ad hominem,Argumento de inconsistencia,Tu quoque,Desacreditas la postura del oponente afirmando que no actúa de acuerdo con esa postura.,¿Cómo podemos tomar en serio los escritos de Jean-Jacques Rousseau sobre la educación de los niños cuando abandonó a sus propios hijos?,,阻碍,人身攻击,不一致的指责,你也一样,通过声称对手未能始终如一地根据自己主张来行动，以此来削弱对手的立场。,我们如何能认真对待让·雅克·卢梭关于儿童教育的著作呢，他自己却抛弃了他的孩子？,,مانع‌تراشی,حمله به شخص,استدلال از تناقض,تو کوکوئه,بی‌اعتبار کردن موضع مخالف با ادعای عدم موفقیت او به عمل بر اساس آن موضع.,چگونه می‌توانیم نوشته‌های ژان-ژاک روسو درباره تعلیم و تربیت کودکان را جدی بگیریم وقتی که او فرزندان خودش را رها کرده است؟,,1,,,,,,,,,,,,,,,,circle,,,,,7.3110000,4+
1363,7.3.1.1.1,"7,3111",5,Obstruction,obstruction,Ad hominem,Procès en inconsistance,,,,,,Whataboutisme,13,Vous détournez les critiques en rappelant à votre adversaire qu'il n'a pas condamné une situation similaire.,109,"Si vous vous préoccupez tant de ma santé, pourquoi l’autorisez-vous, lui, à fumer ?",74,,Obstruction,Ad hominem,Argument from inconsistency,Whataboutism,12,,Redirecting critique by highlighting the opponent's hypocrisy or failure to condemn a similar issue.,100,"If you care so much about my health, why do you allow him to smoke?",,67,http://rationalwiki.org/wiki/Whataboutism,,,,,,Обструкция,К человеку,Обвинение в непоследовательности,Ватабаутизм,"Вы переключаете критику, подчеркивая лицемерие оппонента или его неспособность осудить аналогичный вопрос.","Если тебя так беспокоит мое здоровье, почему ты позволяешь ему курить?",,Obstrução,Ad hominem,Argumento da inconsistência,Whataboutismo,Redirecionando crítica destacando a hipocrisia do oponente ou falha em condenar um problema semelhante.,"Se você se preocupa tanto com a minha saúde, por que permite que ele fume?",,العرقلة,الحجة الشخصية,حجة من التناقض,ماذا عن؟,تحول النقد من خلال التأكيد على نفاق الخصم أو فشله في إدانة قضية مشابهة.,إذا كنت تهتم بصحتي إلى هذا الحد، لماذا تسمح له بالتدخين؟,,Obstrucción,Ad hominem,Argumento de inconsistencia,Whataboutismo,Desvias las críticas señalando la hipocresía del oponente o su falta de condena de un problema similar.,"Si te preocupas tanto por mi salud, ¿por qué le permites a él fumar?",,阻碍,人身攻击,不一致的指责,Whataboutism（什么主义）,通过指出对手的虚伪或未能谴责类似问题来转移批评。,如果你如此关心我的健康，为什么你允许他抽烟？,,مانع‌تراشی,حمله به شخص,استدلال از تناقض,انحراف با اشاره به نفاق,انتقاد از رقیب با اشاره به نفاق یا عدم محکومیت او در مسائل مشابه.,اگر تو این همه به سلامت من اهمیت می‌دهی، چرا به او اجازه می‌دهی که سیگار بکشد؟,,,,,,,,,,,,,,,,,,circle,,,,,7.3111000,4+
1364,7.3.1.1.2,"7,3112",5,Obstruction,obstruction,Ad hominem,Procès en inconsistance,,,3,,,Critique de l'incohérence passée,32,Vous accusez votre contradicteur d'avoir changé d'opinion au fil du temps.,74,"Vous déplorez la surpopulation mondiale, et pourtant vous voilà père de deux enfants !",77,,Obstruction,Ad hominem,Argument from inconsistency,Critique of Past Inconsistency,30,,Arguing that an opponent has opinions that change with time.,60,You were saying that there are too many humans on the planet and now you have two children.,,91,http://www.dougwalton.ca/papers%20in%20pdf/04historical.pdf,"Bis repetita de l'Appel au Parti-pris (""circumstantiae"") (992) - J",,"Vous voulez aujourd'hui construire de nouvelles centrales nucléaires, alors qu'hier vous plaidiez en faveur des usines à charbon !",,,Обструкция,К человеку,Обвинение в непоследовательности,Критика прошлой непоследовательности,"Вы упрекаете вашего оппонента в том, что он изменял свои мнения со временем.","Вы говорили, что людей на планете слишком много, а теперь у вас двое детей.",,Obstrução,Ad hominem,Argumento da inconsistência,Crítica da Incoerência Passada,Argumentando que um oponente tem opiniões que mudam com o tempo.,Você dizia que há muitos humanos no planeta e agora você tem dois filhos.,,العرقلة,الحجة الشخصية,حجة من التناقض,انتقاد التناقض الماضي,تتهم خصمك بتغيير رأيه مع مرور الوقت.,كنت تقول أن هناك عدد كبير جدا من البشر على الأرض والآن لديك طفلين.,,Obstrucción,Ad hominem,Argumento de inconsistencia,Crítica de la inconsistencia pasada,Acusas a tu interlocutor de haber cambiado de opinión con el tiempo.,"Aunque lamentabas la sobrepoblación mundial, ahora eres padre de dos hijos.",,阻碍,人身攻击,不一致的指责,过去不一致的批评,指责对手随着时间的推移改变观点。,你以前说地球上的人口太多了，而现在你却有了两个孩子。,,مانع‌تراشی,حمله به شخص,استدلال از تناقض,انتقاد از عدم‌ثبات گذشته,شما متهم می‌کنید که رقیب شما در طول زمان نظرش را تغییر داده است.,تو می‌گفتی که جمعیت جهان بیش از حد است و حالا خودت دو فرزند داری.,,,,,,,,,,,,,,,,,,circle,,,,,7.3112000,4+
